College,Table,State,Stream,Stream Type,Status,Website,,,,,,DEAD
St. John's,st_johns,New York,https://radio.stjohns.edu:8443/wsjuAAC,,GOOD,https://www.wsjuradio.com/,,,,,,
RIT,rit,New York,https://streaming.witr.rit.edu/live-aac-96,,GOOD,https://witr.rit.edu/,,,,,,
Penn State,penn_state,Pennsylvania,https://n04.radiojar.com/k9uw1tyr7x8uv,,GOOD,https://www.thelion.fm/,,,,,,
Pittsburgh,pittsburgh,Pennsylvania,http://audio.wpts.pitt.edu:8000/wpts_live_128s.mp3,,GOOD,https://wpts.pitt.edu/,,,,,,
Temple,temple,Pennsylvania,https://ice23.securenetsystems.net/WHIP,,GOOD,https://www.whipradiotu.com/,,,,,,
Pennsylvania,pennsylvania,Pennsylvania,https://shaincast.caster.fm:35011/listen.mp3,,DEAD,https://wqhs.upenn.edu/,,,,,,
Villanova,villanova,Pennsylvania,https://securestream.casthost.net:8159/stream,,GOOD,https://wxvu.org/,,,,,,
Rhode Island,rhode_island,Rhode Island,https://stream.wriu.org/wriu-fm,,GOOD,https://wriu.org/,,,,,,
Brown,brown,Rhode Island,https://listen.bsrlive.com/bsrmp3,,GOOD,https://www.bsrlive.com/,,,,,,
Vermont,vermont,Vermont,http://icecast.uvm.edu:8005/wruv_fm_128,,GOOD,http://wruv.org/,,,,,,
Illinois at Urbana Champaign,illinois_urbana_champaign,Illinois,https://ice64.securenetsystems.net/WPGUFM,,GOOD,https://wpgu.com/,,,,,,
Iillinois at Chicago,illinois_chicago,Illinois,https://us2.maindigitalstream.com/ssl/UIC,,GOOD,https://www.uicradio.net/,,,,,,
Northwestern,northwestern,Illinois,https://n14.rcs.revma.com/w4pmmfkdx4zuv,,GOOD,https://wnur.org/,,,,,,
DuPage,dupage,Illinois,wdcb-ice.streamguys1.com/mobile-AAC,,GOOD,https://wdcb.org/,,,,,,
DePaul,dupaul,Illinois,https://ice26.securenetsystems.net/RADIODEPAUL,,GOOD,https://radiodepaul.com/,,,,,,
Illinois State,illinois_state,Illinois,https://15693.live.streamtheworld.com/WZNDFM.mp3,,GOOD,https://wznd.com/,,,,,,
Chicago,chicago,Illinois,https://whpk-stream.uchicago.edu/stream,,GOOD,https://whpk.org/,,,,,,
Loyola Chicago,loyola_chicago,Illinois,https://ice26.securenetsystems.net/WLUW,,GOOD,https://wluw.org/,,,,,,
Purdue,purdue,Indiana,https://das-edge63-live365-dal03.cdnstream.com/a34661,,GOOD,https://www.wccrpurdue.org/,,,,,,
Indiana,indiana,Indiana,https://ice25.securenetsystems.net/WIUXLP,,GOOD,https://www.wiux.org/,,,,,,
Ball State,ball_state,Indiana,https://s6.reliastream.com/proxy/ballstat?mp=/stream,,GOOD,https://wcrd.net/,,,,,,
Vincennes,vincennes,Indiana,https://ice25.securenetsystems.net/WVUB,,GOOD,https://www.wvub.org/,,,,,,
Notre Dame,notre_dame,Indiana,https://s4.radio.co/s49f365ee3/listen,,GOOD,https://wvfi.nd.edu/,,,,,,
Iowa,iowa,Iowa,http://krui.student-services.uiowa.edu:8000/listen,,GOOD,https://krui.fm/listen/,,,,,,
Iowa State,iowa_state,Iowa,http://kure-network.stuorg.iastate.edu:8000/KUREBroadcast,,GOOD,https://kure.stuorg.iastate.edu/,,,,,,
Kanas,kansas,Kansas,https://listen.mixlr.com/9da878cb9b12cf27153c0a463e0a1346,,GOOD,https://kjhk.org/web/,,,,,,
Kansas State,kansas_state,Kansas,https://s.radiowave.io/ksdb.opus,,GOOD,https://radiowave.io/s/KSDB/overview,,,,,,
Wichita State,wichita_state,Kansas,,,,,,,,,,
